Analyte,CAS,Subtopic,50th Percentile,75th Percentile,90th Percentile,95th Percentile,Year
3-phenoxybenzoic acid (3-PBA) (μg/g CrCl),3739-38-6,"HH Income: $25,000 - $49,999",0.391,0.7444,3.2526,15.8008,2010-2011
4-fluoro-3-phenoxybenzoic acid (4F-3PBA) (μg/g CrCl),77279-89-1,"HH Income: $25,000 - $49,999",,,0.0749,0.1383,2010-2011
Antimony (μg/g CrCl),7440-36-0,"HH Income: $25,000 - $49,999",,,,0.2218,2010-2011
Arsenic (V) Acid (μg/g CrCl),7440-38-2,"HH Income: $25,000 - $49,999",,,,,2010-2011
Arsenobetaine (μg/g CrCl),64436-13-1,"HH Income: $25,000 - $49,999",,3.1367,13.5414,35.9592,2010-2011
Arsenocholine (μg/g CrCl),39895-81-3,"HH Income: $25,000 - $49,999",,,,,2010-2011
Arsenous (III) Acid (μg/g CrCl),13464-58-9,"HH Income: $25,000 - $49,999",0.3298,0.6089,1.0808,1.5623,2010-2011
Barium (μg/g CrCl),7440-39-3,"HH Income: $25,000 - $49,999",1.3076,2.8609,5.5742,7.3435,2010-2011
Beryllium (μg/g CrCl),7440-41-7,"HH Income: $25,000 - $49,999",,,,,2010-2011
Cadmium (μg/g CrCl),7440-43-9,"HH Income: $25,000 - $49,999",0.2341,0.3964,0.7263,0.9814,2010-2011
Cesium (μg/g CrCl),7440-46-2,"HH Income: $25,000 - $49,999",3.4174,5.0928,7.3491,9.5344,2010-2011
Cobalt (μg/g CrCl),7440-48-4,"HH Income: $25,000 - $49,999",0.4646,0.7885,1.2382,1.612,2010-2011
Dimethylarsinic Acid (DMA) (μg/g CrCl),75-60-5,"HH Income: $25,000 - $49,999",3.7182,6.6004,11.1046,17.3811,2010-2011
Lead (μg/g CrCl),7439-92-1,"HH Income: $25,000 - $49,999",0.305,0.5989,0.9926,1.3402,2010-2011
Molybdenum (μg/g CrCl),7439-98-7,"HH Income: $25,000 - $49,999",49.9402,80.0835,118.046,139.6518,2010-2011
Monomethylarsonic acid (MMA) (μg/g CrCl),124-58-3,"HH Income: $25,000 - $49,999",,0.8578,1.4754,2.0102,2010-2011
Platinum (μg/g CrCl),7440-06-4,"HH Income: $25,000 - $49,999",,,,,2010-2011
TCPy (μg/g CrCl),6515-38-4,"HH Income: $25,000 - $49,999",1.0344,1.6812,2.9268,4.1534,2010-2011
Thallium (μg/g CrCl),7440-28-0,"HH Income: $25,000 - $49,999",0.1243,0.1873,0.2773,0.331,2010-2011
Total Arsenic (μg/g CrCl),7440-38-2,"HH Income: $25,000 - $49,999",9.6071,19.4406,41.1144,79.3497,2010-2011
Tungsten (μg/g CrCl),7440-33-7,"HH Income: $25,000 - $49,999",,0.1595,0.3521,0.479,2010-2011
Uranium (μg/g CrCl),7440-61-1,"HH Income: $25,000 - $49,999",,,,0.0204,2010-2011
"cis-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropane carboxylic acid (DBCA) (μg/g CrCl)",63597-73-9,"HH Income: $25,000 - $49,999",,,,,2010-2011
cis-DCCA (μg/g CrCl),59042-49-8,"HH Income: $25,000 - $49,999",,,0.4186,3.9918,2010-2011
"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (trans-DCCA) (μg/g CrCl)",55701-05-8,"HH Income: $25,000 - $49,999",,0.6397,2.539,23.461,2010-2011
3-phenoxybenzoic acid (3-PBA) (μg/g CrCl),3739-38-6,"HH Income: $25,000 or less",0.443,1.067,2.8649,5.101,2010-2011
4-fluoro-3-phenoxybenzoic acid (4F-3PBA) (μg/g CrCl),77279-89-1,"HH Income: $25,000 or less",,,0.0887,0.1713,2010-2011
Antimony (μg/g CrCl),7440-36-0,"HH Income: $25,000 or less",,,0.1307,0.158,2010-2011
Arsenic (V) Acid (μg/g CrCl),7440-38-2,"HH Income: $25,000 or less",,,,1.1625,2010-2011
Arsenobetaine (μg/g CrCl),64436-13-1,"HH Income: $25,000 or less",,4.189,12.9114,32.0038,2010-2011
Arsenocholine (μg/g CrCl),39895-81-3,"HH Income: $25,000 or less",,,,,2010-2011
Arsenous (III) Acid (μg/g CrCl),13464-58-9,"HH Income: $25,000 or less",0.3474,0.6892,1.1666,1.6393,2010-2011
Barium (μg/g CrCl),7440-39-3,"HH Income: $25,000 or less",1.4057,3.1891,5.6928,7.4624,2010-2011
Beryllium (μg/g CrCl),7440-41-7,"HH Income: $25,000 or less",,,,,2010-2011
Cadmium (μg/g CrCl),7440-43-9,"HH Income: $25,000 or less",0.2462,0.42,0.8147,1.0654,2010-2011
Cesium (μg/g CrCl),7440-46-2,"HH Income: $25,000 or less",3.2735,4.8424,7.2509,9.1825,2010-2011
Cobalt (μg/g CrCl),7440-48-4,"HH Income: $25,000 or less",0.4633,0.71,1.1637,1.4628,2010-2011
Dimethylarsinic Acid (DMA) (μg/g CrCl),75-60-5,"HH Income: $25,000 or less",4.3532,6.8211,12.7533,17.8861,2010-2011
Lead (μg/g CrCl),7439-92-1,"HH Income: $25,000 or less",0.3312,0.6139,1.1912,1.5951,2010-2011
