FULL_NAME,CAS_REGISTRY_NUM,vintage,mean_concentration_black,mean_concentration_amerind,mean_concentration_hispanic,mean_concentration_asian,mean_concentration_pacisl,mean_concentration_nhw,mean_concentration_lowinc,mean_concentration_verylowinc,mean_concentration_medhighinc,contributing_pws
ETHYLBENZENE,100-41-4,syr3,0.189378890597003,0.178476231667162,0.242992514813889,0.257183441471136,0.251937635408236,0.187931367418428,0.202616177189126,0.203675534144519,0.205176256675657,33279
STYRENE,100-42-5,syr3,0.189819926483893,0.17688912845249,0.243069835229764,0.259899622929931,0.249812491293362,0.187428649174853,0.202454585619141,0.203728587221364,0.205131463034638,33260
HEPTACHLOR EPOXIDE,1024-57-3,syr3,0.0182744972232914,0.0151627429737385,0.0148072061735699,0.0146060015567557,0.0146392598912809,0.0161288599599661,0.0156288257540123,0.0157188813024823,0.0162805131024908,24184
P-DICHLOROBENZENE,106-46-7,syr3,0.185941552687687,0.173402095170847,0.241258090043171,0.25276454346597,0.249780524797042,0.182421822569669,0.199246402230205,0.200514388109782,0.200313393308746,33265
"1,2-DIBROMOMETHANE",106-93-4,syr3,0.0411526090886122,0.0924180774474388,0.0510429408379543,0.049227908663457,0.0486755358401696,0.0572159536602258,0.0507064120567806,0.0500677113646411,0.0552133134427719,23966
"1,2-DICHLOROETHANE",107-06-2,syr3,0.187445950184684,0.171719708826231,0.241210790304381,0.253297205414132,0.249495262018049,0.182900277862919,0.199652295710688,0.201019188219056,0.200819022943153,33264
GLYPHOSATE,1071-83-6,syr3,6.1476562794667,3.79595500071651,9.23126469463009,11.4582543675528,7.94019605178363,6.40981564112359,7.19615329443416,7.33327909499551,7.40267974461561,11039
BIS(2-ETHYLHEXYL) PHTHALATE,117-81-7,syr3,0.528355898862179,0.432651890990829,0.896173402182233,1.11760588484916,0.848817649007038,0.543621093921612,0.635902534479789,0.635408114585546,0.671328539608152,21935
HEXACHLOROBENZENE,118-74-1,syr3,0.0674350448303346,0.0669878885957945,0.141033321687527,0.176012765319443,0.141503054063698,0.0781789026047775,0.0929236587973458,0.0921169080312315,0.0996327122161202,24208
TETRACHLOROETHYLENE,127-18-4,syr3,0.194156056690115,0.176519468856706,0.265881891741602,0.273441284331363,0.24495881702898,0.189732472268775,0.211663062419896,0.212904506970896,0.211692620187293,33267
DECACHLOROBIPHENYL,1336-36-3,syr3,0.0847125138285309,0.0770924099456057,0.165226032240306,0.19940933225962,0.170523671547992,0.0920238481997893,0.106765552136348,0.106215562902946,0.116133621002024,13919
ALACHOR,15972-60-8,syr3,0.130149142819599,0.112937665821924,0.266187995133252,0.332309460870865,0.231598127839016,0.143271461109624,0.173478548834433,0.172938591185696,0.183166530697224,26595
"2,3,7,8-TCDD",1746-01-6,syr3,0.770932068374437,0.715510579367761,1.90372993468776,2.24606855754752,1.01240420868794,0.999224741411482,1.29032226402746,1.27772186008313,1.37338503648705,2113
POLYCYCLIC AROMATIC HYDROCARBONS (PAHS),50-32-8,syr3,0.0299043721596911,0.020250627912392,0.0352211017253572,0.0413166071552662,0.0293421617030761,0.0239889542273421,0.0281352459004983,0.0286681598315206,0.0286433821582777,22417
CARBON TETRACHLORIDE,56-23-5,syr3,0.188153687398478,0.172678481461479,0.243117922047432,0.253623160086766,0.232983738223237,0.183124156570803,0.200374380990484,0.201632029699594,0.201289123743243,33264
CHLORDANE,57-74-9,syr3,0.117307783410472,0.0793789273373162,0.0828029934753843,0.0851653085193704,0.0882010523833147,0.0994482625775502,0.0990647540596709,0.0999793503878345,0.096265065750191,22876
BHC-GAMMA,58-89-9,syr3,0.0285892297910453,0.0250093310488618,0.0537131553540486,0.0670231122840468,0.0464708830524941,0.028420627551835,0.0354368501479437,0.035510472027786,0.0370481006408274,24463
BENZENE,71-43-2,syr3,0.187816854532215,0.171253209512132,0.241227925646,0.253978598214454,0.250408501102488,0.182442890653221,0.199485052721818,0.200839499514606,0.200663976190224,33266
"1,1,1-TRICHLOROETHANE",71-55-6,syr3,0.187119606089595,0.172014025164457,0.24260971170365,0.256883288471745,0.250341720939141,0.182678823367919,0.199775549712432,0.201073642117386,0.201271224042948,33264
ARSENIC,7440-38-2,syr3,0.158103869082522,0.175873962186858,0.148166941165766,0.243681079945808,0.193962049127704,0.169041866353257,0.167652319710425,0.171435668923954,0.169468557367254,32100
"BERYLLIUM, TOTAL",7440-41-7,syr3,0.142301237304746,0.248640791527335,0.25749103838584,0.314489621066488,0.210552461613293,0.172511759026866,0.197322124905647,0.196270363456852,0.197323215197357,29865
CADMIUM,7440-43-9,syr3,0.184957888850676,0.252625723899161,0.29356374480615,0.358573055574702,0.2060576613921,0.192288788121842,0.220977488905698,0.221449858202084,0.226301336016298,30095
VINYL CHLORIDE,75-01-4,syr3,0.191982656308878,0.17176302935272,0.253629119185823,0.254493375737205,0.236205070321966,0.186051020247639,0.205730488525287,0.207312636784654,0.205399138508388,32921
METHYLENE CHLORIDE,75-09-2,syr3,0.19166628610927,0.196793254515497,0.24600629028507,0.259007981055725,0.235581826376901,0.192215952875257,0.205577562975736,0.206617122579703,0.209075655150401,33257
"1,1-DICHLOROETHYLENE",75-35-4,syr3,0.189626387965227,0.181228990507814,0.248915017108322,0.263343581468059,0.252585709287846,0.188469054316619,0.204563301522927,0.205531527246294,0.207132906352942,33261
HEPTACHLOR,76-44-8,syr3,0.0245287309389707,0.0190946104751507,0.0201519483829023,0.0183048928419212,0.0155093638254016,0.0207195365404832,0.0204787836377559,0.0205991440292626,0.0211950533804153,24223
"1,2-DICHLOROPROPANE",78-87-5,syr3,0.186523158340284,0.171835494327092,0.241131816940772,0.253304531206641,0.249731721408449,0.18211575507041,0.198954299194263,0.20025427417821,0.200272108668973,33264
"1,1,2-TRICHLOROETHANE",79-00-5,syr3,0.186681841817604,0.176809505435802,0.241198868644287,0.253020882583762,0.24968682829593,0.182370188042792,0.199210607549255,0.200519752690134,0.200449644997612,33263
TRICHLOROETHYLENE,79-01-6,syr3,0.194075157750792,0.174857605668249,0.270011833726249,0.27798651633926,0.244490171579517,0.187900647936056,0.212146557411357,0.213531577605936,0.21147279380927,33263
TOXAPHENE,8001-35-2,syr3,0.38983982374319,0.329797515975504,0.503188917502775,0.53811599977047,0.512643737347095,0.406369323710309,0.430271944897698,0.431633283242786,0.436448547864132,23451
"2,4-D",94-75-7,syr3,0.754808506565119,0.733232267885948,2.17316999276543,2.88604400534074,1.83780496503994,0.901781116137514,1.24201899000235,1.24169240848965,1.31264099637403,23322
"1,2-DIBROMO-3-CHLOROPROPANE",96-12-8,syr3,0.0701775060379241,0.123712931207002,0.0743740018031693,0.08504147612311,0.0581389640950197,0.106947325630289,0.0855818122188049,0.0845754923414651,0.0970610785915858,23232
"1,1-DICHLOROETHANE",75-34-3,ucmr3,0.021908979175346,0.021714535684771,0.0219538765653064,0.0218467723121516,0.0214207185250394,0.0218434697516292,0.0217576174545918,0.0217385018669899,0.0219280399580057,4656
"1,2,3-TRICHLOROPROPANE",96-18-4,ucmr3,0.0212886602675578,0.0213211058824693,0.0213933383819822,0.021419107045616,0.0223632261139746,0.0212754855217824,0.0213253575019375,0.0213259075603193,0.0213151835166163,4656
"1,3-BUTADIENE",106-99-0,ucmr3,0.070733553864787,0.0707151871633795,0.0707333660531989,0.0707186424688522,0.0707115131725419,0.0707206262444144,0.0707288823398632,0.0707283365276853,0.070723389004593,4656
"1,4-DIOXANE",123-91-1,ucmr3,0.0781119761958815,0.0687548880490474,0.0832695755126527,0.0710254612945943,0.0660152854684823,0.0728278420558119,0.0780514361225662,0.0779482555859191,0.0744546288032509,4655
ALPHA-HEXACHLOROCYCLOHEXANE,319-84-6,ucmr4,0.00707701140821632,0.00707459759824363,0.00707366967583366,0.00707345696024418,0.00707365100775478,0.0070760879220393,0.00707617583277997,0.0070761497930174,0.00707517055381059,4821
CHROMIUM-6,18540-29-9,ucmr3,0.203892966295725,0.593455352647204,0.479014409921859,0.402126520441401,0.715649724112039,0.309985296921577,0.356026978599518,0.344759244710407,0.331596442035238,4659
COBALT,7440-48-4,ucmr3,0.716256268712448,0.716803200897223,0.716575199829652,0.718236435268747,0.708522589165136,0.720855130963403,0.714749962093493,0.714393585098123,0.720950875045446,4660
ETHOPROP,13194-48-4,ucmr4,0.0212164029686071,0.0212135909763888,0.0212138999346801,0.021213476340841,0.0212135997883592,0.0212170953736224,0.0212162358737969,0.0212158870159288,0.0212159586965539,4821
O-TOLUIDINE,95-53-4,ucmr4,0.00496438992399948,0.00496792930496515,0.00497265482300899,0.00496511948133407,0.00496380775341465,0.00497478397417086,0.00497276399498301,0.00497314380465497,0.00497150284136684,4823
PFOA,335-67-1,ucmr3,0.0142691827991034,0.014248172054704,0.014243322170778,0.0142756611228595,0.0142223650258035,0.0142589840398249,0.0142615885468386,0.0142676750099331,0.0142563684764254,4660
