Chemical,Race/Eth: Non-hispanic black,Race/Eth: Asian,Race/Eth: Hispanic,Income: <$15k,Income: $15k-30k,"Female, childbearing age",CASRN
"1,2-Propylene oxide",0.362496516761512,1.37578236493374,1.90284797856966,,0.493777668020342,0.802141095361207,75-56-9
"1,4-Dichlorobenzene",2.69964904868406,1.04759325765693,0.954172634734686,1.21479308742754,1.27010702267304,0.5549273673542,106-46-7
"1,4-Dioxane",0.79458405536549,1.24175199127257,1.39033305024431,0.590375517359842,0.445673253370795,1.24113521918353,123-91-1
1-Chloro-4-(trifluoromethyl)benzene,,,,,3.70333251015257,,98-56-6
"1-Naphthalenol, 1-(N-methylcarbamate)",0.780761728409409,0.599700005227528,0.585491685713743,0.972762004265194,1.08884306281408,0.627315472013253,63-25-2
"2,4-Dichlorophenoxyacetic acid",0.981761399562427,0.982701689238387,0.981627925452608,1.03176265538596,0.867050071821434,0.668450912801006,94-75-7
4-Methyl-2-pentanone,0.992925241564138,0.53834962106103,1.73738293695491,1.02380648724763,0.579652045067356,0.62776259636964,108-10-1
Acetamide,,0.606962808059004,0.559661170167551,0.288572906944796,1.08921544416252,0.0884714443413098,60-35-5
"Amides, coco, N,N-bis(hydroxyethyl)",0.310120594187605,0.470800048836642,1.62791176873831,1.11918009537525,0.929353405589617,0.926427215650063,68603-42-9
Arsenic,0.859801401396265,0.906445189195002,1.42086745105496,0.430958074793108,0.715724584685417,1.59870361063023,7440-38-2
"Asphalt, oxidized",0.8156171627134,2.47640825688073,0.856281590356346,0.294344365083692,0.66659985182746,0.180481746456271,64742-93-4
Benzophenone,,7.73877580275233,,,,,119-61-9
Butylated hydroxyanisole,0.974121581663557,1.23888968004197,0.898521113031787,0.86838921281513,0.812840917161541,0.757301008424047,25013-16-5
C.I. Solvent Yellow 14,1.20832172253837,,1.05713776587204,4.36065726049916,0.822962780033904,,842-07-9
Cadmium,0.707310276607826,0.755002517341687,1.50835510496376,0.59826090464165,0.722601465395621,1.55292559620234,7440-43-9
Chlorothalonil,0.988626863895029,0.469016715318322,0.432465449674926,0.445976310732866,0.841666479580127,0.478550085300721,1897-45-6
Coal tar,2.71872387571134,,,,,,8007-45-2
Cobalt,,,,,,,7440-48-4
Cumene,1.15035021793104,0.966228655141327,0.874430140440972,0.901748632915358,1.2522829586354,0.813732729687235,98-82-8
Di(2-ethylhexyl) phthalate,,,3.56783995981813,,1.38874969130721,,117-81-7
Dichloromethane,0.912578643595414,0.432938506447682,0.997997191557517,0.720423271183864,1.39846122761006,0.851924327678206,75-09-2
Diethanolamine,1.19036018341956,1.75691126332755,0.732853613368048,1.39216929431476,1.08097273269318,0.573151492124647,111-42-2
Diuron,0.607913413202534,0.769070887230043,1.59555575842798,0.731290348034019,0.966086741778928,1.2331051000118,330-54-1
Ethanol,1.01292362580432,0.936628414067299,1.03372368148154,0.895995765000166,0.93149289503583,1.03204490269437,64-17-5
Ethylbenzene,1.0453179258098,0.834323463883086,0.91845385104229,0.898576032021174,1.1305553042545,0.734634171494176,100-41-4
Ethylene oxide,0.797020028710164,1.20997146101665,1.58054148057089,0.479388216748684,0.398078087410535,1.35214337735969,75-21-8
Formaldehyde,0.913212378764577,0.264573531718028,0.670875889880331,0.704413865157554,1.14423478839329,0.566897793356237,50-00-0
Furan,0.362496516761512,1.37578236493374,1.90284797856966,,0.493777668020342,0.802141095361207,110-00-9
Lead,1.2473461239312,0.602782821966932,0.935382406943531,0.66403976924604,0.812604901301584,0.981484681512378,7439-92-1
Melamine,1.86426780048778,,,0.84098390023912,1.5871425043511,,108-78-1
Mineral oil - includes paraffin oil,1.8349092524486,1.11424443504195,1.25215530648285,0.886601574617794,0.928957423806549,1.28126024230924,8012-95-1
Myrcene,0.496822637185828,0.314265007218368,0.724434509607741,2.091787366077,1.24071038411203,1.28261139613594,123-35-3
Naphthalene,1.19891705100334,0.805137659872554,0.703022652180912,1.03818012512278,1.30692975875532,0.659691900840166,91-20-3
Nickel,0.914780570383888,0.35681483895226,0.806852106913403,1.10671973332172,1.10581623942347,0.682729870640091,7440-02-0
Nickel (II) oxide,1.81248258380755,1.05829412687211,0.487909738094786,0.922446728182511,0.88626760926728,0.462773708862236,1313-99-1
Nitrofurazone,,,1.46372921428436,,1.13948692620079,0.462773708862235,59-87-0
Phenolphthalein,0.73108541195599,2.25443328707629,1.59903191476443,1.40163983373187,0.933613237853588,1.69359622024793,77-09-8
Phenyl glycidyl ether,0.196534256075518,,1.37555275559252,0.354631765161074,1.33855391933225,0.978515492835203,122-60-1
Quartz (SiO2),1.44283153053102,0.678839982697569,0.980634374920772,0.903688840169233,1.01516790300235,0.791586607264349,14808-60-7
Talc,1.02655404164368,0.615821807356876,1.17560736854549,0.732697659760465,0.730263258649998,1.44748056677541,14807-96-6
Tetrachloroethylene,0.526204621105421,1.33140228864556,0.613821928570863,0.632998634588585,1.07516105133462,1.16439836423401,127-18-4
Thiourea,0.935102479544026,0.337999307126579,0.675259974196695,0.696356095739398,0.73797071858363,0.640472075686498,62-56-6
Titanium dioxide,0.984193049763023,1.17137679737459,1.10328421204556,0.845303581419433,0.88307616065459,1.07245784788604,13463-67-7
Vinyl acetate,0.121281362485264,0.345224199379284,1.00801426374044,0.492397636757106,0.536914378795353,0.939310204605132,108-05-4
