chem,cas,cat,mean,median,perc_75,perc_95,perc_99,sample_size,year,frac_nd
Blood Ethylbenzene (ng/mL),100-41-4,Gender: female,,,,0.109,0.214,1473,2017-2018,0.723307745987439
Blood Ethylbenzene (ng/mL),100-41-4,Gender: male,,,0.032,0.128,0.296,1393,2017-2018,0.723307745987439
Blood Ethylbenzene (ng/mL),100-41-4,Income: Missing,,,0.045,0.145,0.22,1197,2017-2018,0.723307745987439
Blood Ethylbenzene (ng/mL),100-41-4,Income: PIR above 2,,,0.025,0.128,0.399,378,2017-2018,0.723307745987439
Blood Ethylbenzene (ng/mL),100-41-4,Income: PIR below 2,,,,0.086,0.218,1291,2017-2018,0.723307745987439
Blood Ethylbenzene (ng/mL),100-41-4,Race/eth: Hispanic,,,,0.069,0.152,682,2017-2018,0.723307745987439
Blood Ethylbenzene (ng/mL),100-41-4,Race/eth: Non-hispanic black,,,0.046,0.127,0.209,637,2017-2018,0.723307745987439
Blood Ethylbenzene (ng/mL),100-41-4,Race/eth: Non-hispanic white,,,0.025,0.129,0.27,977,2017-2018,0.723307745987439
Blood Ethylbenzene (ng/mL),100-41-4,Race/eth: Other,,,0.031,0.14,0.296,570,2017-2018,0.723307745987439
Blood Styrene (ng/mL),100-42-5,Gender: female,,,0.043,0.11,0.268,669,2009-2010,0.565151515151515
Blood Styrene (ng/mL),100-42-5,Gender: male,,0.031,0.053,0.152,0.234,651,2009-2010,0.565151515151515
Blood Styrene (ng/mL),100-42-5,Income: Missing,,,0.039,0.116,0.206,112,2009-2010,0.565151515151515
Blood Styrene (ng/mL),100-42-5,Income: PIR above 2,,,0.049,0.128,0.258,591,2009-2010,0.565151515151515
Blood Styrene (ng/mL),100-42-5,Income: PIR below 2,,,0.05,0.152,0.294,617,2009-2010,0.565151515151515
Blood Styrene (ng/mL),100-42-5,Race/eth: Hispanic,,,0.039,0.084,0.17,495,2009-2010,0.565151515151515
Blood Styrene (ng/mL),100-42-5,Race/eth: Non-hispanic black,,,0.051,0.168,0.318,204,2009-2010,0.565151515151515
Blood Styrene (ng/mL),100-42-5,Race/eth: Non-hispanic white,,0.03,0.053,0.15,0.268,507,2009-2010,0.565151515151515
Blood Styrene (ng/mL),100-42-5,Race/eth: Other,,,0.037,0.092,0.156,114,2009-2010,0.565151515151515
N-Nitrosopiperidine (NPIP) (ng/L),100-75-4,Gender: female,,,,,36.7,1272,2013-2014,0.945432977461447
N-Nitrosopiperidine (NPIP) (ng/L),100-75-4,Gender: male,,,,,26.7,1257,2013-2014,0.945432977461447
N-Nitrosopiperidine (NPIP) (ng/L),100-75-4,Income: Missing,,,,,16.6,180,2013-2014,0.945432977461447
