CASRN,NAME,DTXSID,mean_conc_black,mean_conc_amerind,mean_conc_hispanic,mean_conc_asian,mean_conc_pacisl,mean_conc_nhw,mean_conc_lowinc,mean_conc_verylowinc,mean_conc_medhighinc,contributing_cbgs
100-41-4,Ethylbenzene,DTXSID3020596,0.00274481813623189,0.000995323198996397,0.00244318761230184,0.00177575545247805,0.00226675909950314,0.00170533038317309,0.00228497301547466,0.00236165990440379,0.00185874088152723,189599
100-42-5,Styrene,DTXSID2021284,0.0148021475194437,0.011712734494099,0.0172787329218348,0.0107110906854551,0.00899078208877767,0.0126205938266904,0.0163241470532368,0.0164228611093638,0.0125565875463289,194082
100-44-7,Benzyl chloride,DTXSID0020153,0.0000394997387899511,0.00000542584322934409,0.0000139969250624108,0.000025480976448297,0.00000366250635098895,0.0000200579803419794,0.0000254961138013624,0.0000216090001864198,0.0000200250997241252,20681
100-75-4,N-Nitrosopiperidine,DTXSID8021060,0.000000000000999700331722872,0.000000000000281052760372143,0.000000000000279844199899018,0.000000000000664486773527174,0.00000000000267056017244787,0.00000000000392260223672514,0.00000000000260561000789701,0.0000000000025136941807285,0.00000000000263611298763659,894
10034-93-2,Hydrazine sulfate,DTXSID8020703,0.000000000112246835691057,0.00000000000569499169184892,0.0000000000318544803127941,0.0000000000452099042680777,0.0000000000126836888476942,0.0000000000457792812937159,0.0000000000416805092805961,0.0000000000386851930660056,0.0000000000550785198461514,1323
101-14-4,"4,4'-Methylenebis(2-chloroaniline)",DTXSID5020865,0.00000000325508483219378,0.000000000354285108373905,0.00000000139243995433775,0.00000000206840924266245,0.000000000326003741333266,0.00000000260901781922026,0.00000000222216298269777,0.00000000203666531434045,0.00000000246772086011593,3529
101-77-9,"4,4'-Diaminobiphenyl methane",DTXSID6022422,0.000000435901967446098,0.0000000301216851903864,0.000000115054807688712,0.0000000349178327858991,0.0000000269777513238814,0.000000192000227185159,0.00000015836556394779,0.000000170430609204413,0.000000211788405428469,5981
101-80-4,"4,4'-Oxydianiline",DTXSID0021094,0.00000000288171970883252,0.000000000282033656130694,0.00000000095064848545564,0.000000000929087697137871,0.000000000309712244325372,0.00000000211748825483446,0.0000000020127963026418,0.00000000217727522161427,0.00000000185029969723843,9048
101-90-6,Diglycidyl resorcinol ether,DTXSID2020470,0.0000000000197731752309172,0.00000000000692611770958327,0.000000000023812595470983,0.0000000000858615111535865,0.00000000000818025042266112,0.000000000210186307893935,0.0000000000519714712320345,0.0000000000432431081661595,0.000000000172058419316167,2128
106-46-7,"1,4-Dichlorobenzene",DTXSID1020431,0.00001674996764579,0.00000783708635493966,0.00000955218013980861,0.00000242551625770708,0.0000044527525144333,0.0000127726931000406,0.0000138638047186287,0.0000125002608751366,0.000011515336499659,8656
106-47-8,4-Chloroaniline,DTXSID9020295,0.0000000795072387126046,0.00000000946035536567337,0.0000000232425302591742,0.0000000165564426389897,0.0000000188221327164452,0.0000000478813958271348,0.0000000389779969873734,0.0000000349014837063463,0.0000000477547518548993,2909
