DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0026173,Treosulfan,299-75-2,YCPOZVAOBBQLRI-WDSKDSINSA-N,"(2S,3S)-2,3-Dihydroxybutane-1,4-diyl dimethanesulfonate",CS(=O)(=O)OC[C@H](O)[C@@H](O)COS(C)(=O)=O,"InChI=1S/C6H14O8S2/c1-15(9,10)13-3-5(7)6(8)4-14-16(2,11)12/h5-8H,3-4H2,1-2H3/t5-,6-/m0/s1",C6H14O8S2,278.29,278.013010,23,183,53,,1,3/78,4.0,78
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4020119,Azathioprine,446-86-6,LMEKQMALGUDUQG-UHFFFAOYSA-N,6-[(1-Methyl-4-nitro-1H-imidazol-5-yl)sulfanyl]-7H-purine,CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,"InChI=1S/C9H7N7O2S/c1-15-4-14-7(16(17)18)9(15)19-8-5-6(11-2-10-5)12-3-13-8/h2-4H,1H3,(H,10,11,12,13)",C9H7N7O2S,277.26,277.038194,54,13675,325,2,1,139/663,21.0,663
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7028435,Shale oils,68308-34-9,,,,,,, ,10,,,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2020686,Lindane,58-89-9,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,"(1R,2S,3r,4R,5S,6r)-1,2,3,4,5,6-Hexachlorocyclohexane",Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,"InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3-,4+,5+,6+",C6H6Cl6,290.81,287.860066,103,4371,425,76,1,85/700,12.0,700
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4023913,Beryllium,7440-41-7,RWASOQSEFLDYLC-UHFFFAOYSA-N,Beryllium,[Be],InChI=1S/Be.2H,Be,9.0121831,9.012183,54,2681,156,405,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4064682,Plutonium,7440-07-5,OYEHPCDNVJXUIW-UHFFFAOYSA-N,Plutonium,[Pu],InChI=1S/Pu,Pu,244.0,244.000000,18,3244,53,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3020910,Busulfan,55-98-1,COVZYZSDYWQREU-UHFFFAOYSA-N,"Butane-1,4-diyl dimethanesulfonate",CS(=O)(=O)OCCCCOS(C)(=O)=O,"InChI=1S/C6H14O6S2/c1-13(7,8)11-5-3-4-6-12-14(2,9)10/h3-6H2,1-2H3",C6H14O6S2,246.29,246.023181,53,4096,234,3,1,16/603,3.0,603
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1028285,"Pitch, coal tar, high-temp.",65996-93-2,,,,,,, ,21,,,54,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5039224,Acetaldehyde,75-07-0,IKHGUXGNUITLKF-UHFFFAOYSA-N,Acetaldehyde,CC=O,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",C2H4O,44.053,44.026215,100,5568,445,200,1,136/318,43.0,318
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1026164,2-Methylaniline,95-53-4,RNVCVTLRINQCPJ-UHFFFAOYSA-N,2-Methylaniline,CC1=C(N)C=CC=C1,"InChI=1S/C7H9N/c1-6-4-2-3-5-7(6)8/h2-5H,8H2,1H3",C7H9N,107.156,107.073499,82,147,182,18,1,4/580,1.0,580
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2020137,C.I. Azoic Diazo Component 112,92-87-5,HFACYLZERDEVSX-UHFFFAOYSA-N,"[1,1'-Biphenyl]-4,4'-diamine",NC1=CC=C(C=C1)C1=CC=C(N)C=C1,"InChI=1S/C12H12N2/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,13-14H2",C12H12N2,184.242,184.100048,84,482,139,21,1,57/617,9.0,617
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3039242,Benzene,71-43-2,UHOVQNZJYSORNB-UHFFFAOYSA-N,Benzene,C1=CC=CC=C1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,C6H6,78.114,78.046950,113,8535,570,2992,1,0/234,0.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020600,Ethylene oxide,75-21-8,IAYPIBMASNFSPL-UHFFFAOYSA-N,Oxirane,C1CO1,InChI=1S/C2H4O/c1-2-3-1/h1-2H2,C2H4O,44.053,44.026215,81,2732,174,383,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0037100,Bis-(2-chloroethyl)sulfide,505-60-2,QKSKPIVNLNLAAV-UHFFFAOYSA-N,1-Chloro-2-[(2-chloroethyl)sulfanyl]ethane,ClCCSCCCl,InChI=1S/C4H8Cl2S/c5-1-3-7-4-2-6/h1-4H2,C4H8Cl2S,159.07,157.972377,45,1535,54,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3032179,"3,3',4,4',5-Pentachlorobiphenyl",57465-28-8,REHONNLQRWTIFF-UHFFFAOYSA-N,"3,3',4,4',5-Pentachloro-1,1'-biphenyl",ClC1=CC(=CC(Cl)=C1Cl)C1=CC(Cl)=C(Cl)C=C1,InChI=1S/C12H5Cl5/c13-8-2-1-6(3-9(8)14)7-4-10(15)12(17)11(16)5-7/h1-5H,C12H5Cl5,326.42,323.883389,35,360,49,3,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6050415,Radium-228,15262-20-1,DQXWBJUMYKQGMA-AEAMRFAVSA-N,(~228~Ra)Radium,[228Ra],InChI=1S/Ra.2H/i1+2;;,[228Ra],228.031064101,228.031064,11,,12,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021383,Trichloroethylene,79-01-6,XSTXAVWGXDQKEL-UHFFFAOYSA-N,"1,1,2-Trichloroethene",ClC=C(Cl)Cl,InChI=1S/C2HCl3/c3-1-2(4)5/h1H,C2HCl3,131.38,129.914383,102,4105,181,434,1,0/234,0.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8031603,Semustine,13909-09-6,FVLVBPDQNARYJU-UHFFFAOYSA-N,"N-(2-Chloroethyl)-N'-(4-methylcyclohexyl)-N-nitrosourea",CC1CCC(CC1)NC(=O)N(CCCl)N=O,"InChI=1S/C10H18ClN3O2/c1-8-2-4-9(5-3-8)12-10(15)14(13-16)7-6-11/h8-9H,2-7H2,1H3,(H,12,15)",C10H18ClN3O2,247.72,247.108755,21,469,130,,1,1/78,1.0,78
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3032040,Quartz (SiO2),14808-60-7,,,,,,, ,32,3121,,10283,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1027683,Coal tar,8007-45-2,,,,,,, ,21,2273,,81,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3060087,Chlornaphazine,494-03-1,XCDXSSFOJZZGQC-UHFFFAOYSA-N,"N,N-Bis(2-chloroethyl)naphthalen-2-amine",ClCCN(CCCl)C1=CC=C2C=CC=CC2=C1,"InChI=1S/C14H15Cl2N/c15-7-9-17(10-8-16)14-6-5-12-3-1-2-4-13(12)11-14/h1-6,11H,7-10H2",C14H15Cl2N,268.18,267.058155,21,9,41,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7023982,Chromium (VI) ion,18540-29-9,JOPOVCBBYLSVDA-UHFFFAOYSA-N,Chromium(6+),[Cr+6],InChI=1S/Cr/q+6,Cr,51.9928,51.937215,30,1560,26,136,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8021434,Vinyl chloride,75-01-4,BZHJMEDXRYGGRV-UHFFFAOYSA-N,Chloroethene,ClC=C,"InChI=1S/C2H3Cl/c1-2-3/h2H,1H2",C2H3Cl,62.5,61.992328,82,1496,142,263,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0040969,Aristolochic acid,313-67-7,BBFQZRXNYIEMAW-UHFFFAOYSA-N,"8-Methoxy-6-nitro-2H-phenanthro[3,4-d][1,3]dioxole-5-carboxylic acid",COC1=C2C=C(C3=C(C=C4OCOC4=C3C2=CC=C1)C(O)=O)[N+]([O-])=O,"InChI=1S/C17H11NO7/c1-23-12-4-2-3-8-9(12)5-11(18(21)22)14-10(17(19)20)6-13-16(15(8)14)25-7-24-13/h2-6H,7H2,1H3,(H,19,20)",C17H11NO7,341.275,341.053552,22,600,179,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3051202,Radium-226,13982-63-3,DQXWBJUMYKQGMA-GLJCYROLSA-N,(~226~Ra)Radium,[226Ra],InChI=1S/Ra.2H/i1+0;;,[226Ra],226.025402555,226.025403,13,,16,1,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021116,Phenacetin,62-44-2,CPJSUEIXXCENMM-UHFFFAOYSA-N,N-(4-Ethoxyphenyl)acetamide,CCOC1=CC=C(NC(C)=O)C=C1,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",C10H13NO2,179.219,179.094629,64,2380,241,11,1,1/327,0.0,327
https://comptox.epa.gov/dashboard/chemical/details/DTXSID40872425,Nickel & Nickel Compounds,NOCAS_872425,,,,,,, ,7,,,22,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5024267,Polychlorinated biphenyls,1336-36-3,,,"[*]C1=C([*])C([*])=C(C([*])=C1[*])C1=C([*])C([*])=C([*])C([*])=C1[*] |$_R1;;;_R1;;_R1;;;_R1;;_R1;;;_R1;;_R1;;_R1;;_R1;;_R1$,c:1,5,8,12,20,t:16,RG:_R1={Cl* |$;_AP1$,lp:0:3|},LOG={_R1:;H;>0}|",,,, ,51,13428,,2776,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7020637,Formaldehyde,50-00-0,WSFSSNUMVMOOMR-UHFFFAOYSA-N,Formaldehyde,C=O,InChI=1S/CH2O/c1-2/h1H2,CH2O,30.026,30.010565,105,19234,338,2328,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID50912341,Radium-224,13233-32-4,DQXWBJUMYKQGMA-XFAAJJICSA-N,(~224~Ra)Radium,[224RaH2],InChI=1S/Ra/i1-2,[224Ra],224.020202004,224.020202,7,,14,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020448,"1,2-Dichloropropane",78-87-5,KNKRKFALVUDBJE-UHFFFAOYSA-N,"1,2-Dichloropropane",CC(Cl)CCl,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3",C3H6Cl2,112.98,111.984656,88,74,114,44,1,0/234,0.0,234
