DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2023987,Creosote,8001-58-9,,,,,,, ,37,294,,30,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5052751,Silicon carbide,409-21-2,HBMJWWWQQXIZIP-UHFFFAOYSA-N,Silaniumylidynemethanide,[C-]#[Si+],InChI=1S/CSi/c1-2,CSi,40.096,39.976927,31,755,88,593,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7021029,N-Nitrosodimethylamine,62-75-9,UMFJAHHVKNCGLG-UHFFFAOYSA-N,"N,N-Dimethylnitrous amide",CN(C)N=O,InChI=1S/C2H6N2O/c1-4(2)3-5/h1-2H3,C2H6N2O,74.083,74.048013,96,2589,104,13,1,5/584,1.0,584
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7020265,Chloramphenicol,56-75-7,WIIZWVCIJKGZOK-RKDXNWHRSA-N,"2,2-Dichloro-N-[(1R,2R)-1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide",OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,"InChI=1S/C11H12Cl2N2O5/c12-10(13)11(18)14-8(5-16)9(17)6-1-3-7(4-2-6)15(19)20/h1-4,8-10,16-17H,5H2,(H,14,18)/t8-,9-/m1/s1",C11H12Cl2N2O5,323.13,322.012327,69,18884,222,63,1,6/327,2.0,327
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5020027,Acrylamide,79-06-1,HRPVXLWXLXDGHG-UHFFFAOYSA-N,Prop-2-enamide,NC(=O)C=C,"InChI=1S/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)",C3H5NO,71.079,71.037114,96,2402,257,243,1,11/668,2.0,668
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4059758,"Dibenz[a,j]acridine",224-42-0,ANUCHZVCBDOPOX-UHFFFAOYSA-N,"Dibenzo[a,j]acridine",C1=CC=C2C(C=CC3=NC4=C(C=C23)C2=CC=CC=C2C=C4)=C1,InChI=1S/C21H13N/c1-3-7-16-14(5-1)9-11-20-18(16)13-19-17-8-4-2-6-15(17)10-12-21(19)22-20/h1-13H,C21H13N,279.342,279.104799,30,39,54,1,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3020962,1-Methoxy-2-nitrobenzene,91-23-6,CFBYEGUGFPZCNF-UHFFFAOYSA-N,1-Methoxy-2-nitrobenzene,COC1=C(C=CC=C1)[N+]([O-])=O,"InChI=1S/C7H7NO3/c1-11-7-5-3-2-4-6(7)8(9)10/h2-5H,1H3",C7H7NO3,153.137,153.042593,46,22,136,,1,2/318,1.0,318
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8021480,Doxorubicin,23214-92-8,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"(1S,3S)-3,5,12-Trihydroxy-3-(hydroxyacetyl)-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranoside",COC1=C2C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]4C[C@H](N)[C@H](O)[C@H](C)O4)C(=O)CO)C(O)=C3C(=O)C2=CC=C1,"InChI=1S/C27H29NO11/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3/t10-,13-,15-,17-,22+,27-/m0/s1",C27H29NO11,543.525,543.174061,35,43973,276,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0041228,"1,2-Dimethylhydrazine",540-73-8,DIIIISSCIXVANO-UHFFFAOYSA-N,"1,2-Dimethylhydrazine",CNNC,"InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",C2H8N2,60.1,60.068748,34,1241,76,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1041508,4-Chloro-2-methylaniline,95-69-2,CXNVOWPRHWWCQR-UHFFFAOYSA-N,4-Chloro-2-methylaniline,CC1=C(N)C=CC(Cl)=C1,"InChI=1S/C7H8ClN/c1-5-4-6(8)2-3-7(5)9/h2-4H,9H2,1H3",C7H8ClN,141.6,141.034527,51,23,150,1,1,13/444,3.0,444
