DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7020059,"2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole",712-68-5,SXZZHGJWUBJKHH-UHFFFAOYSA-N,"5-(5-Nitrofuran-2-yl)-1,3,4-thiadiazol-2-amine",NC1=NN=C(S1)C1=CC=C(O1)[N+]([O-])=O,"InChI=1S/C6H4N4O3S/c7-6-9-8-5(14-6)3-1-2-4(13-3)10(11)12/h1-2H,(H2,7,9)",C6H4N4O3S,212.18,212.000411,19,,51,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5024473,2-Amino-4-chlorophenol,95-85-2,SWFNPENEBHAHEB-UHFFFAOYSA-N,2-Amino-4-chlorophenol,NC1=CC(Cl)=CC=C1O,"InChI=1S/C6H6ClNO/c7-4-1-2-6(9)5(8)3-4/h1-3,9H,8H2",C6H6ClNO,143.57,143.013791,29,15,132,,1,41/234,18.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020250,Carbon tetrachloride,56-23-5,VZGDMQKNWNREIO-UHFFFAOYSA-N,Tetrachloromethane,ClC(Cl)(Cl)Cl,"InChI=1S/CCl4/c2-1(3,4)5",CCl4,153.81,151.875411,96,11059,114,232,1,0/234,0.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8024864,Crotonaldehyde,4170-30-3,MLUCVPSAIODCQM-UHFFFAOYSA-N,But-2-enal,CC=CC=O,"InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3",C4H6O,70.091,70.041865,61,172,41,4,1,0/234,0.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020069,o-Aminoazotoluene,97-56-3,PFRYFZZSECNQOL-UHFFFAOYSA-N,2-Methyl-4-[(2-methylphenyl)diazenyl]aniline,CC1=CC=CC=C1N=NC1=CC(C)=C(N)C=C1,"InChI=1S/C14H15N3/c1-10-5-3-4-6-14(10)17-16-12-7-8-13(15)11(2)9-12/h3-9H,15H2,1-2H3",C14H15N3,225.295,225.126597,55,120,111,22,1,308/646,48.0,646
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1022057,"1,3-Dichloropropene",542-75-6,UOORRWUZONOOLO-UHFFFAOYSA-N,"1,3-Dichloroprop-1-ene",ClCC=CCl,"InChI=1S/C3H4Cl2/c4-2-1-3-5/h1-2H,3H2",C3H4Cl2,110.97,109.969005,68,185,48,12,1,0/234,0.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3059761,"Dibenz[a,h]acridine",226-36-8,JNCSIWAONQTVCF-UHFFFAOYSA-N,"Dibenzo[a,h]acridine",C1=CC=C2C(C=CC3=C2C=C2C=CC4=CC=CC=C4C2=N3)=C1,InChI=1S/C21H13N/c1-3-7-17-14(5-1)11-12-20-19(17)13-16-10-9-15-6-2-4-8-18(15)21(16)22-20/h1-13H,C21H13N,279.342,279.104799,26,,56,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1031464,Iron dextran,9004-66-4,,,,,,, ,16,2221,,1,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3021932,Diethanolamine,111-42-2,ZBCBWPMODOFKDW-UHFFFAOYSA-N,"2,2'-Azanediyldi(ethan-1-ol)",OCCNCCO,"InChI=1S/C4H11NO2/c6-3-1-5-2-4-7/h5-7H,1-4H2",C4H11NO2,105.137,105.078979,85,153,286,691,1,30/595,5.0,595
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2020761,Isoprene,78-79-5,RRHGJUQNOFWUDK-UHFFFAOYSA-N,"2-Methylbuta-1,3-diene",CC(=C)C=C,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3",C5H8,68.119,68.062600,59,716,129,12,1,0/234,0.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4059752,"Dibenzo[a,h]pyrene",189-64-0,RXUSYFJGDZFVND-UHFFFAOYSA-N,"Dibenzo[c,pqr]tetraphene",C1=CC=C2C(=C1)C=C1C=CC3=C4C(C=CC2=C14)=CC1=CC=CC=C31,InChI=1S/C24H14/c1-3-7-19-15(5-1)13-17-9-12-22-20-8-4-2-6-16(20)14-18-10-11-21(19)23(17)24(18)22/h1-14H,C24H14,302.376,302.109550,31,6,69,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID301020377,Carbon nanotubes,308068-56-6,,,,,,, ,9,,,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID30174041,Benz(j)aceanthrylene,202-33-5,OSKRAISUPBTHCP-UHFFFAOYSA-N,Cyclopenta[ij]tetraphene,C1=CC2=C3C1=CC=CC3=CC1=C2C=CC2=CC=CC=C12,InChI=1S/C20H12/c1-2-7-16-13(4-1)8-10-17-18-11-9-14-5-3-6-15(20(14)18)12-19(16)17/h1-12H,C20H12,252.316,252.093900,7,18,32,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7024821,1-Chloro-4-(trifluoromethyl)benzene,98-56-6,QULYNCCPRWKEMF-UHFFFAOYSA-N,1-Chloro-4-(trifluoromethyl)benzene,FC(F)(F)C1=CC=C(Cl)C=C1,"InChI=1S/C7H4ClF3/c8-6-3-1-5(2-4-6)7(9,10)11/h1-4H",C7H4ClF3,180.55,179.995362,51,11,132,131,1,2/349,1.0,349
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020280,1-Chloro-2-nitrobenzene,88-73-3,BFCFYVKQTRLZHA-UHFFFAOYSA-N,1-Chloro-2-nitrobenzene,[O-][N+](=O)C1=C(Cl)C=CC=C1,InChI=1S/C6H4ClNO2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,C6H4ClNO2,157.55,156.993056,52,27,151,1,1,0/321,0.0,321
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7021100,Parathion,56-38-2,LCCNCVORNKJIRZ-UHFFFAOYSA-N,"O,O-Diethyl O-(4-nitrophenyl) phosphorothioate",CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O,"InChI=1S/C10H14NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",C10H14NO5PS,291.26,291.033031,100,2213,88,8,1,110/741,15.0,741
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5020029,Acrylonitrile,107-13-1,NLHHRLWOUZZQLW-UHFFFAOYSA-N,Prop-2-enenitrile,C=CC#N,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2",C3H3N,53.064,53.026549,104,1092,168,224,1,3/357,1.0,357
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6020640,Formic acid 2-[4-(5-nitro-2-furyl)-2-thiazolyl]hydrazide,3570-75-0,DUWYZHLZDVCZIO-UHFFFAOYSA-N,"N'-[4-(5-Nitrofuran-2-yl)-1,3-thiazol-2-yl]formohydrazide",[O-][N+](=O)C1=CC=C(O1)C1=CSC(NNC=O)=N1,"InChI=1S/C8H6N4O4S/c13-4-9-11-8-10-5(3-17-8)6-1-2-7(16-6)12(14)15/h1-4H,(H,9,13)(H,10,11)",C8H6N4O4S,254.22,254.010976,16,7,34,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020350,2-Methoxy-5-methylaniline,120-71-8,WXWCDTXEKCVRRO-UHFFFAOYSA-N,2-Methoxy-5-methylaniline,COC1=CC=C(C)C=C1N,"InChI=1S/C8H11NO/c1-6-3-4-8(10-2)7(9)5-6/h3-5H,9H2,1-2H3",C8H11NO,137.182,137.084064,66,18,141,1,1,15/596,3.0,596
