"itemset","support","count"
"{Ethanol}",0.484174311926605,4222
"{Titanium dioxide}",0.14151376146789,1234
"{Butylated hydroxyanisole}",0.0290137614678899,253
"{Talc}",0.0228211009174312,199
"{Mineral oil - includes paraffin oil}",0.0165137614678899,144
"{Naphthalene}",0.00756880733944954,66
"{Nickel}",0.00722477064220184,63
"{Ethylbenzene}",0.00561926605504587,49
"{1,4-Dichlorobenzene}",0.00470183486238532,41
"{Lead}",0.00470183486238532,41
"{Cumene}",0.00309633027522936,27
"{2,4-Dichlorophenoxyacetic acid}",0.00275229357798165,24
"{Diethanolamine}",0.00240825688073395,21
"{Carbaryl}",0.00194954128440367,17
"{Quartz-alpha (SiO2)}",0.00172018348623853,15
"{Phenolphthalein}",0.00149082568807339,13
"{Arsenic}",0.00114678899082569,10
"{Formaldehyde}",0.00114678899082569,10
"{Cadmium}",0.00103211009174312,9
"{1,4-Dioxane}",0.000802752293577982,7
"{Ethylene oxide}",0.000688073394495413,6
"{Nickel (II) oxide}",0.000688073394495413,6
"{Thiourea}",0.000688073394495413,6
"{Asphalt, oxidized}",0.000458715596330275,4
"{Vinyl acetate}",0.000344036697247706,3
"{Coconut oil acid/Diethanolamine condensate (2:1)}",0.000229357798165138,2
"{Dichloromethane}",0.000229357798165138,2
"{Diuron}",0.000229357798165138,2
"{Tetrachloroethylene}",0.000229357798165138,2
"{1,2-Propylene oxide}",0.000114678899082569,1
"{4-Methyl-2-pentanone}",0.000114678899082569,1
"{Acetamide}",0.000114678899082569,1
"{Benzophenone}",0.000114678899082569,1
"{Chlorothalonil}",0.000114678899082569,1
"{Furan}",0.000114678899082569,1
"{Myrcene}",0.000114678899082569,1
