"itemset","support","count"
"{Ethanol}",0.533498261567264,31916
"{Titanium dioxide}",0.129563385932067,7751
"{Talc}",0.053640679326023,3209
"{Mineral oil - includes paraffin oil}",0.0189890345012035,1136
"{Butylated hydroxyanisole}",0.0177353570473389,1061
"{Nickel}",0.0138238833912811,827
"{Lead}",0.00765579031826692,458
"{Naphthalene}",0.0062015244717839,371
"{Ethylbenzene}",0.00494784701791923,296
"{Cumene}",0.00260764910403851,156
"{1,4-Dichlorobenzene}",0.00249063920834448,149
"{Formaldehyde}",0.00245720780957475,147
"{Cadmium}",0.00212289382187751,127
"{Carbaryl}",0.0020393153249532,122
"{Arsenic}",0.00202259962556833,121
"{Quartz-alpha (SiO2)}",0.00200588392618347,120
"{2,4-Dichlorophenoxyacetic acid}",0.00187215833110457,112
"{Thiourea}",0.00130382455201926,78
"{Phenolphthalein}",0.00111995185878577,67
"{Vinyl acetate}",0.000936079165552287,56
"{1,4-Dioxane}",0.000802353570473389,48
"{Diethanolamine}",0.000785637871088526,47
"{Ethylene oxide}",0.000768922171703664,46
"{Myrcene}",0.000468039582776143,28
"{Coconut oil acid/Diethanolamine condensate (2:1)}",0.000451323883391281,27
"{Dichloromethane}",0.000451323883391281,27
"{Diuron}",0.00036774538646697,22
"{Nickel (II) oxide}",0.000300882588927521,18
"{Tetrachloroethylene}",0.000200588392618347,12
"{Phenyl glycidyl ether}",0.00015044129446376,9
"{4-Methyl-2-pentanone}",0.000133725595078898,8
"{Chlorothalonil}",0.000117009895694036,7
"{1,2-Propylene oxide}",6.6862797539449e-05,4
"{Furan}",6.6862797539449e-05,4
"{Asphalt, oxidized}",3.34313987697245e-05,2
"{Nitrofurazone}",3.34313987697245e-05,2
"{Acetamide}",1.67156993848623e-05,1
