Co.occurring.Chemicals,Overall.Rank,AfrAmericanRank,RankDifference,Overall.Support,AfrAmericanSupport,Percent.SuppDifference
{4-Methyl-2-pentanone},30,25,5,0.000213019,0.000211512,-0.000150706
{Chlorothalonil},29,24,5,0.000244509,0.000241728,-0.000278084
{Nickel | Nickel (II) oxide},22,18,4,0.000650172,0.001178426,0.052825357
"{1,4-Dichlorobenzene}",10,7,3,0.004488226,0.012116634,0.762840835
{Dichloromethane},25,22,3,0.00052977,0.000483457,-0.004631321
{Mineral oil - includes paraffin oil},6,4,2,0.014820591,0.02719444,1.237384887
{Quartz-alpha (SiO2)},15,13,2,0.002534004,0.003656141,0.112213704
{Diuron},28,26,2,0.000298227,0.000181296,-0.011693085
"{1,4-Dioxane}",23,21,2,0.000646467,0.000513673,-0.013279473
{Cumene},13,12,1,0.003204552,0.003686357,0.048180514
{Ethylene oxide},24,23,1,0.000568669,0.000453241,-0.011542844
{Myrcene},27,26,1,0.000364911,0.000181296,-0.018361518
{Ethanol},1,1,0,0.516933188,0.523613839,0.668065109
{Talc},3,3,0,0.037057962,0.038042,0.098403866
{Diethanolamine},17,17,0,0.001370733,0.001631666,0.026093305
"{2,4-Dichlorophenoxyacetic acid}",14,14,0,0.002800742,0.00274966,-0.005108161
{Thiourea},16,16,0,0.002035724,0.001903611,-0.013211346
{Arsenic},19,19,0,0.00126515,0.001087778,-0.017737224
{Formaldehyde},11,11,0,0.004334481,0.003958302,-0.037617931
{Titanium dioxide},2,2,0,0.12080977,0.118900136,-0.190963402
{Lead},8,9,-1,0.007800214,0.009729566,0.192935264
{Naphthalene},7,8,-1,0.009400638,0.011270585,0.18699471
{Ethylbenzene},9,10,-1,0.006735117,0.007040338,0.030522153
{Phenolphthalein},21,22,-1,0.000661286,0.000483457,-0.017782951
{Diethanolamine | Coconut oil acid/Diethanolamine condensate (2:1)},26,27,-1,0.000487166,0.00015108,-0.033608582
{Butylated hydroxyanisole},4,5,-1,0.023419165,0.022813114,-0.060605094
{Nickel},5,6,-1,0.020247955,0.018522435,-0.172551914
{Cadmium},18,20,-2,0.001367029,0.000966913,-0.040011525
{Carbaryl},12,15,-3,0.003250861,0.002538148,-0.071271312
