Co.occurring.Chemicals,Overall.Rank,AsianRank,RankDifference,Overall.Support,AsianSupport,Percent.SuppDifference
{4-Methyl-2-pentanone},30,23,7,0.000213019,0.000114679,-0.009834047
{Phenolphthalein},21,15,6,0.000661286,0.001490826,0.082953946
{Diuron},28,22,6,0.000298227,0.000229358,-0.006886932
{Diethanolamine},17,12,5,0.001370733,0.002408257,0.103752352
"{1,4-Dioxane}",23,18,5,0.000646467,0.000802752,0.01562848
{Ethylene oxide},24,19,5,0.000568669,0.000688073,0.011940428
{Diethanolamine | Coconut oil acid/Diethanolamine condensate (2:1)},26,22,4,0.000487166,0.000229358,-0.025780825
{Nickel | Nickel (II) oxide},22,19,3,0.000650172,0.000688073,0.003790122
"{2,4-Dichlorophenoxyacetic acid}",14,11,3,0.002800742,0.002752294,-0.00484481
{Cumene},13,10,3,0.003204552,0.00309633,-0.010822204
{Arsenic},19,16,3,0.00126515,0.001146789,-0.011836085
{Dichloromethane},25,22,3,0.00052977,0.000229358,-0.030041212
{Butylated hydroxyanisole},4,3,1,0.023419165,0.029013761,0.559459676
{Mineral oil - includes paraffin oil},6,5,1,0.014820591,0.016513761,0.169317009
"{1,4-Dichlorobenzene}",10,9,1,0.004488226,0.004701835,0.021360928
{Cadmium},18,17,1,0.001367029,0.00103211,-0.033491858
{Quartz-alpha (SiO2)},15,14,1,0.002534004,0.001720183,-0.081382089
{Ethylbenzene},9,8,1,0.006735117,0.005619266,-0.111585084
{Naphthalene},7,6,1,0.009400638,0.007568807,-0.183183024
{Titanium dioxide},2,2,0,0.12080977,0.141513761,2.070399147
{Ethanol},1,1,0,0.516933188,0.484174312,-3.275887594
{Vinyl acetate},20,21,-1,0.00099656,0.000344037,-0.06525235
{Carbaryl},12,13,-1,0.003250861,0.001949541,-0.130131959
{Lead},8,9,-1,0.007800214,0.004701835,-0.30983789
{Talc},3,4,-1,0.037057962,0.022821101,-1.423686073
{Nickel},5,7,-2,0.020247955,0.007224771,-1.302318391
{Thiourea},16,19,-3,0.002035724,0.000688073,-0.134765088
{Formaldehyde},11,16,-5,0.004334481,0.001146789,-0.318769218
