"itemset","support","count"
"{Ethanol}",0.516933187862712,279070
"{Titanium dioxide}",0.120809769994647,65220
"{Talc}",0.0370579616453987,20006
"{Butylated hydroxyanisole}",0.0234191647047274,12643
"{Nickel}",0.0202479545509274,10931
"{Mineral oil - includes paraffin oil}",0.0148205913788281,8001
"{Naphthalene}",0.00940063757624704,5075
"{Lead}",0.0078002137603106,4211
"{Ethylbenzene}",0.00673511689206586,3636
"{1,4-Dichlorobenzene}",0.00448822558566435,2423
"{Formaldehyde}",0.0043344811681612,2340
"{Carbaryl}",0.0032508608761209,1755
"{Cumene}",0.003204552316632,1730
"{2,4-Dichlorophenoxyacetic acid}",0.00280074167788877,1512
"{Quartz-alpha (SiO2)}",0.0025340043752327,1368
"{Thiourea}",0.00203572427513212,1099
"{Diethanolamine}",0.00137073336087149,740
"{Cadmium}",0.00136702867611238,738
"{Arsenic}",0.00126514984523679,683
"{Vinyl acetate}",0.000996560200201164,538
"{Phenolphthalein}",0.000661286229501516,357
"{Nickel (II) oxide}",0.00065017217522418,351
"{1,4-Dioxane}",0.000646467490465068,349
"{Ethylene oxide}",0.000568669110523713,307
"{Dichloromethane}",0.000529769920553035,286
"{Coconut oil acid/Diethanolamine condensate (2:1)}",0.000487166045823246,263
"{Myrcene}",0.000364911448772545,197
"{Diuron}",0.000298227123108527,161
"{Chlorothalonil}",0.000244509194101401,132
"{4-Methyl-2-pentanone}",0.000213019373648948,115
"{Acetamide}",0.000188938922714719,102
"{Asphalt, oxidized}",0.000185234237955607,100
"{Tetrachloroethylene}",0.000172267841298714,93
"{Phenyl glycidyl ether}",0.000153744417503154,83
"{1,2-Propylene oxide}",8.3355407080023e-05,45
"{Furan}",8.3355407080023e-05,45
"{Nitrofurazone}",7.22413528026866e-05,39
"{Melamine}",6.48319832844624e-05,35
"{C.I. Solvent Yellow 14}",5.00132442480138e-05,27
"{Benzophenone}",1.48187390364485e-05,8
"{Di(2-ethylhexyl) phthalate}",1.48187390364485e-05,8
"{1-Chloro-4-(trifluoromethyl)benzene}",1.11140542773364e-05,6
"{Coal tar}",1.11140542773364e-05,6
"{Cobalt}",3.70468475911214e-06,2
