"itemset","support","count"
"{Ethanol}",0.519025476105115,96996
"{Titanium dioxide}",0.124036151347649,23180
"{Talc}",0.0366382885365553,6847
"{Butylated hydroxyanisole}",0.0251603961879485,4702
"{Nickel}",0.01789909086531,3345
"{Mineral oil - includes paraffin oil}",0.0155500024079494,2906
"{Naphthalene}",0.00838501506306152,1567
"{Lead}",0.00721849733252712,1349
"{Ethylbenzene}",0.00600917161188136,1123
"{1,4-Dichlorobenzene}",0.0040239510704673,752
"{Formaldehyde}",0.00386877210631364,723
"{Cumene}",0.00297515531273912,556
"{Carbaryl}",0.00280927435105762,525
"{2,4-Dichlorophenoxyacetic acid}",0.00265944638566788,497
"{Quartz-alpha (SiO2)}",0.00251496941904206,470
"{Thiourea}",0.00221531348826258,414
"{Cadmium}",0.00145012066502213,271
"{Arsenic}",0.00136450468479942,255
"{Diethanolamine}",0.00120932572064576,226
"{Vinyl acetate}",0.000925722786158036,173
"{Phenolphthalein}",0.000786596818296135,147
"{Nickel (II) oxide}",0.000615364857850718,115
"{1,4-Dioxane}",0.000588609864031121,110
"{Dichloromethane}",0.000545801873919767,102
"{Ethylene oxide}",0.000535099876391929,100
"{Coconut oil acid/Diethanolamine condensate (2:1)}",0.000422728902349624,79
"{Myrcene}",0.000315708927071238,59
"{Diuron}",0.000262198939432045,49
"{4-Methyl-2-pentanone}",0.000214039950556771,40
"{Asphalt, oxidized}",0.000214039950556771,40
"{Chlorothalonil}",0.000197986954265014,37
"{Phenyl glycidyl ether}",0.000171231960445417,32
"{Tetrachloroethylene}",0.000160529962917579,30
"{Acetamide}",0.000112370974042305,21
"{1,2-Propylene oxide}",0.000107019975278386,20
"{Furan}",0.000107019975278386,20
"{C.I. Solvent Yellow 14}",3.21059925835157e-05,6
"{Melamine}",2.67549938195964e-05,5
"{Nitrofurazone}",2.67549938195964e-05,5
"{1-Chloro-4-(trifluoromethyl)benzene}",2.14039950556771e-05,4
"{Benzophenone}",2.14039950556771e-05,4
"{Coal tar}",1.60529962917579e-05,3
"{Di(2-ethylhexyl) phthalate}",1.60529962917579e-05,3
