"itemset","support","count"
"{Ethanol}",0.535717317229922,44179
"{Titanium dioxide}",0.120520935646986,9939
"{Talc}",0.032231074247881,2658
"{Nickel}",0.0241914947797301,1995
"{Butylated hydroxyanisole}",0.0216813998326603,1788
"{Mineral oil - includes paraffin oil}",0.014563401118023,1201
"{Naphthalene}",0.0112166078552633,925
"{Lead}",0.00784556246741121,647
"{Ethylbenzene}",0.00746965452847806,616
"{1,4-Dichlorobenzene}",0.00523845901997163,432
"{Formaldehyde}",0.00452302132974402,373
"{Carbaryl}",0.00432900432900433,357
"{Cumene}",0.00344380176312949,284
"{2,4-Dichlorophenoxyacetic acid}",0.00317702838711242,262
"{Quartz-alpha (SiO2)}",0.00244946463433858,202
"{Thiourea}",0.00200080032012805,165
"{Diethanolamine}",0.00127323656735421,105
"{Vinyl acetate}",0.00104284137897583,86
"{Arsenic}",0.000909454690967296,75
"{Cadmium}",0.000885202565874835,73
"{Myrcene}",0.000679059502588914,56
"{Nickel (II) oxide}",0.000666933440042684,55
"{Dichloromethane}",0.000630555252403992,52
"{Coconut oil acid/Diethanolamine condensate (2:1)}",0.000557798877126608,46
"{1,4-Dioxane}",0.000509294626941686,42
"{Phenolphthalein}",0.000412286126571841,34
"{Ethylene oxide}",0.000363781876386918,30
"{Acetamide}",0.000291025501109535,24
"{Diuron}",0.000266773376017073,22
"{Asphalt, oxidized}",0.000230395188378382,19
"{Chlorothalonil}",0.000230395188378382,19
"{Tetrachloroethylene}",0.000169764875647229,14
"{4-Methyl-2-pentanone}",0.000145512750554767,12
"{Phenyl glycidyl ether}",0.000145512750554767,12
"{Melamine}",9.70085003698449e-05,8
"{1,2-Propylene oxide}",7.27563752773837e-05,6
"{Furan}",7.27563752773837e-05,6
"{C.I. Solvent Yellow 14}",3.63781876386918e-05,3
"{Benzophenone}",2.42521250924612e-05,2
"{Di(2-ethylhexyl) phthalate}",2.42521250924612e-05,2
"{Nitrofurazone}",2.42521250924612e-05,2
"{1-Chloro-4-(trifluoromethyl)benzene}",1.21260625462306e-05,1
"{Cobalt}",1.21260625462306e-05,1
