"itemset","support","count"
"{Ethanol}",0.530214100952599,51040
"{Titanium dioxide}",0.122123765101856,11756
"{Talc}",0.0381454972315428,3672
"{Butylated hydroxyanisole}",0.0238721003916354,2298
"{Nickel}",0.0168600604593665,1623
"{Mineral oil - includes paraffin oil}",0.0148863010710242,1433
"{Naphthalene}",0.00791581396798354,762
"{Lead}",0.00789503755336942,760
"{Ethylbenzene}",0.00591088995772,569
"{1,4-Dichlorobenzene}",0.00407217726436949,392
"{Formaldehyde}",0.00393713056937764,379
"{2,4-Dichlorophenoxyacetic acid}",0.003355390960182,323
"{Carbaryl}",0.00324112067980429,312
"{Cumene}",0.00285675700944288,275
"{Quartz-alpha (SiO2)}",0.00261782824138038,252
"{Thiourea}",0.00237889947331789,229
"{Cadmium}",0.0014543490229891,140
"{Arsenic}",0.00134007874261139,129
"{Diethanolamine}",0.00112192638916302,108
"{Vinyl acetate}",0.000986879694171177,95
"{Nickel (II) oxide}",0.000747950926108681,72
"{1,4-Dioxane}",0.000696009889573356,67
"{Dichloromethane}",0.000644068853038031,62
"{Phenolphthalein}",0.000633680645730966,61
"{Ethylene oxide}",0.000602516023809771,58
"{Coconut oil acid/Diethanolamine condensate (2:1)}",0.000467469328817926,45
"{Myrcene}",0.000342810841133146,33
"{Phenyl glycidyl ether}",0.00024931697536956,24
"{Asphalt, oxidized}",0.00022854056075543,22
"{Tetrachloroethylene}",0.000218152353448365,21
"{Acetamide}",0.0002077641461413,20
"{Chlorothalonil}",0.000197375938834235,19
"{Diuron}",0.000197375938834235,19
"{4-Methyl-2-pentanone}",0.000176599524220105,17
"{1,2-Propylene oxide}",6.23292438423901e-05,6
"{Furan}",6.23292438423901e-05,6
"{Di(2-ethylhexyl) phthalate}",3.11646219211951e-05,3
"{Benzophenone}",2.077641461413e-05,2
"{C.I. Solvent Yellow 14}",2.077641461413e-05,2
"{Melamine}",2.077641461413e-05,2
"{1-Chloro-4-(trifluoromethyl)benzene}",1.0388207307065e-05,1
"{Coal tar}",1.0388207307065e-05,1
"{Nitrofurazone}",1.0388207307065e-05,1
