"itemset","support","count"
"{Ethanol}",0.463169947113025,8495
"{Titanium dioxide}",0.102120931246933,1873
"{Talc}",0.0271522817730767,498
"{Nickel}",0.0224088108609127,411
"{Butylated hydroxyanisole}",0.0203369500027261,373
"{Mineral oil - includes paraffin oil}",0.0131399596532359,241
"{Naphthalene}",0.00975955509514203,179
"{Ethylbenzene}",0.00605201461207132,111
"{1,4-Dichlorobenzene}",0.00545226541628046,100
"{Lead}",0.00517965214546644,95
"{Carbaryl}",0.00316231394144267,58
"{Formaldehyde}",0.00305326863311706,56
"{2,4-Dichlorophenoxyacetic acid}",0.00288970067062865,53
"{Cumene}",0.00288970067062865,53
"{Quartz-alpha (SiO2)}",0.0022899514748378,42
"{Diethanolamine}",0.00190829289569816,35
"{Thiourea}",0.00141758900823292,26
"{Phenolphthalein}",0.000926885120767679,17
"{Cadmium}",0.00081783981244207,15
"{Myrcene}",0.000763317158279265,14
"{Nickel (II) oxide}",0.000599749195790851,11
"{Arsenic}",0.000545226541628046,10
"{Coconut oil acid/Diethanolamine condensate (2:1)}",0.000545226541628046,10
"{Vinyl acetate}",0.000490703887465242,9
"{1,4-Dioxane}",0.000381658579139633,7
"{Dichloromethane}",0.000381658579139633,7
"{Ethylene oxide}",0.000272613270814023,5
"{4-Methyl-2-pentanone}",0.000218090616651219,4
"{C.I. Solvent Yellow 14}",0.000218090616651219,4
"{Diuron}",0.000218090616651219,4
"{Chlorothalonil}",0.000109045308325609,2
"{Tetrachloroethylene}",0.000109045308325609,2
"{Acetamide}",5.45226541628046e-05,1
"{Asphalt, oxidized}",5.45226541628046e-05,1
"{Melamine}",5.45226541628046e-05,1
"{Phenyl glycidyl ether}",5.45226541628046e-05,1
