"itemset","support","count"
"{Ethanol}",0.5091366818126,41459
"{Titanium dioxide}",0.11862949772811,9660
"{Talc}",0.0323345204470097,2633
"{Butylated hydroxyanisole}",0.0238978263539236,1946
"{Nickel}",0.0212452413115559,1730
"{Mineral oil - includes paraffin oil}",0.0155225346923738,1264
"{Naphthalene}",0.0105489377379344,859
"{Lead}",0.00724548692128208,590
"{Ethylbenzene}",0.00711040157190225,579
"{1,4-Dichlorobenzene}",0.00461746285152892,376
"{Formaldehyde}",0.00451921896107086,368
"{Carbaryl}",0.00349993859756846,285
"{Cumene}",0.00335257276188137,273
"{Quartz-alpha (SiO2)}",0.00249293872037333,203
"{2,4-Dichlorophenoxyacetic acid}",0.00241925580252978,197
"{Thiourea}",0.00191575586393221,156
"{Diethanolamine}",0.00135085349379835,110
"{Arsenic}",0.00121576814441852,99
"{Cadmium}",0.0011052437676532,90
"{Vinyl acetate}",0.000736829178435466,60
"{Dichloromethane}",0.000650865774284662,53
"{Nickel (II) oxide}",0.000626304801670146,51
"{Phenolphthalein}",0.000577182856441115,47
"{1,4-Dioxane}",0.000515780424904826,42
"{Coconut oil acid/Diethanolamine condensate (2:1)}",0.000454377993368537,37
"{Ethylene oxide}",0.000392975561832249,32
"{Asphalt, oxidized}",0.000245609726145155,20
"{Chlorothalonil}",0.000233329239837898,19
"{Myrcene}",0.000233329239837898,19
"{Diuron}",0.00022104875353064,18
"{Tetrachloroethylene}",0.000159646321994351,13
"{4-Methyl-2-pentanone}",0.000147365835687093,12
"{Acetamide}",0.000122804863072578,10
"{1,2-Propylene oxide}",0.00011052437676532,9
"{Furan}",0.00011052437676532,9
"{Phenyl glycidyl ether}",8.59634041508044e-05,7
"{C.I. Solvent Yellow 14}",4.91219452290311e-05,4
"{Melamine}",3.68414589217733e-05,3
"{1-Chloro-4-(trifluoromethyl)benzene}",1.22804863072578e-05,1
"{Cobalt}",1.22804863072578e-05,1
"{Di(2-ethylhexyl) phthalate}",1.22804863072578e-05,1
"{Nitrofurazone}",1.22804863072578e-05,1
