"itemset","support","count"
"{Ethanol}",0.489593966201656,17267
"{Titanium dioxide}",0.119825337416355,4226
"{Talc}",0.0313598729726664,1106
"{Butylated hydroxyanisole}",0.0250368606101849,883
"{Mineral oil - includes paraffin oil}",0.0149427242826358,527
"{Nickel}",0.0145457638652603,513
"{Lead}",0.00674832709538392,238
"{Naphthalene}",0.0058693433140524,207
"{Ethylbenzene}",0.00422479301349665,149
"{1,4-Dichlorobenzene}",0.0031756833390042,112
"{Carbaryl}",0.00275036860610185,97
"{Formaldehyde}",0.00260859702846773,92
"{2,4-Dichlorophenoxyacetic acid}",0.00241011681977997,85
"{Thiourea}",0.00226834524214585,80
"{Quartz-alpha (SiO2)}",0.00218328229556539,77
"{Cumene}",0.00172961324713621,61
"{Cadmium}",0.00144607009186798,51
"{Arsenic}",0.00141771577634116,50
"{Vinyl acetate}",0.00107746399001928,38
"{Diethanolamine}",0.000907338096858342,32
"{Phenolphthalein}",0.000822275150277872,29
"{1,4-Dioxane}",0.000793920834751049,28
"{Ethylene oxide}",0.000680503572643756,24
"{Nickel (II) oxide}",0.000652149257116933,23
"{Coconut oil acid/Diethanolamine condensate (2:1)}",0.000283543155268232,10
"{Myrcene}",0.000283543155268232,10
"{Chlorothalonil}",0.000226834524214585,8
"{Dichloromethane}",0.000226834524214585,8
"{Asphalt, oxidized}",0.000198480208687762,7
"{Diuron}",0.000170125893160939,6
"{Acetamide}",0.000141771577634116,5
"{Tetrachloroethylene}",0.000141771577634116,5
"{4-Methyl-2-pentanone}",0.000113417262107293,4
"{Phenyl glycidyl ether}",0.000113417262107293,4
"{1,2-Propylene oxide}",5.67086310536464e-05,2
"{Furan}",5.67086310536464e-05,2
"{Melamine}",5.67086310536464e-05,2
"{Benzophenone}",2.83543155268232e-05,1
"{C.I. Solvent Yellow 14}",2.83543155268232e-05,1
