"itemset","support","count"
"{Ethanol}",0.536611004324844,17867
"{Titanium dioxide}",0.126051177318597,4197
"{Talc}",0.0493152330610283,1642
"{Mineral oil - includes paraffin oil}",0.0187409899086977,624
"{Butylated hydroxyanisole}",0.0169990389235944,566
"{Nickel}",0.0141758769822201,472
"{Lead}",0.00867972128784238,289
"{Naphthalene}",0.00597669389716483,199
"{Ethylbenzene}",0.00513575204228736,171
"{1,4-Dichlorobenzene}",0.00261292647765497,87
"{Formaldehyde}",0.00249279192695819,83
"{Cumene}",0.00231259010091302,77
"{Cadmium}",0.00213238827486785,71
"{Arsenic}",0.00210235463719366,70
"{Carbaryl}",0.00195218644882268,65
"{Phenolphthalein}",0.00180201826045171,60
"{2,4-Dichlorophenoxyacetic acid}",0.00174195098510332,58
"{Quartz-alpha (SiO2)}",0.00165185007208073,55
"{Thiourea}",0.00135151369533878,45
"{Diethanolamine}",0.000991110043248438,33
"{Vinyl acetate}",0.000991110043248438,33
"{Diuron}",0.000690773666506487,23
"{1,4-Dioxane}",0.000600672753483902,20
"{Ethylene oxide}",0.000540605478135512,18
"{Dichloromethane}",0.000450504565112926,15
"{Coconut oil acid/Diethanolamine condensate (2:1)}",0.000390437289764536,13
"{Myrcene}",0.000330370014416146,11
"{Nickel (II) oxide}",0.000300336376741951,10
"{Phenyl glycidyl ether}",0.000210235463719366,7
"{Chlorothalonil}",0.000180201826045171,6
"{4-Methyl-2-pentanone}",0.000150168188370976,5
"{Tetrachloroethylene}",0.00012013455069678,4
"{Acetamide}",9.01009130225853e-05,3
"{1,2-Propylene oxide}",6.00672753483902e-05,2
"{Asphalt, oxidized}",6.00672753483902e-05,2
"{Furan}",6.00672753483902e-05,2
"{Melamine}",3.00336376741951e-05,1
"{Nitrofurazone}",3.00336376741951e-05,1
